image_id,ratio_area,color_min_R,color_max_R,color_mean_R,color_median_R,color_std_R,color_min_G,color_max_G,color_mean_G,color_median_G,color_std_G,color_min_B,color_max_B,color_mean_B,color_median_B,color_std_B,inscribed_circle_radius_norm,symmetry_loss_min,symmetry_angle,symmetry_score,hu_1,eccentricity,glcm_energy,hist_variance,hue_skewness
1,0.007428041666666667,5,208,69.26201950566056,57.0,48.450795835727526,3,199,56.20405251607774,39.0,46.00966952494011,0,190,40.84965611879829,24.0,37.005209852184386,0.2717740073132871,0.23641424027403968,-55.0,0.7635857597259603,3.0983736194873175,0.3908074863744234,0.30791788617515853,2064.8130217461944,3.6642911434173584
2,0.008553,2,248,65.22978905359179,57.0,42.700777118316516,2,251,53.661412010642344,35.0,43.60260021465085,0,244,37.05339224629419,20.0,35.383545290943005,0.21394318171909876,0.18023049645390077,-85.0,0.8197695035460992,3.039440821396092,0.5966330599728966,0.405030122738033,1767.6521779721093,3.658135414123535
3,0.022093125,3,255,107.55583150181782,115.0,58.73154660121588,0,255,88.28275113858955,87.0,60.10205561574998,0,255,63.73992541981697,52.0,54.88807131586151,0.21800879276160037,0.2704702575078135,55.0,0.7295297424921865,3.0910035727949627,0.23712861233548757,0.3493517899001207,3412.108549227309,8.524989128112793
4,0.013187375,5,219,88.64101210650763,90.0,46.47282061623455,3,213,72.26592027361572,63.0,46.46463686485052,0,201,51.57099377079745,38.0,38.0479343470548,0.21744358793218085,0.2603051006195668,45.0,0.7396948993804332,3.076024334171882,0.736205890139687,0.3485282545336914,2032.2667406173425,4.892838001251221
5,0.009164625,6,255,123.95368653065613,135.0,62.44917377886132,0,250,101.7843453484934,93.0,63.242206173900115,0,245,81.83031386357732,65.0,60.9041399731299,0.18500210257137523,0.25122928428337277,20.0,0.7487707157166272,3.010350606672214,0.6494450635823302,0.37064402100166516,3860.702534359148,4.5036749839782715
6,0.005916833333333333,7,201,101.05713553854035,110.0,49.63323254506914,4,199,85.08788751505753,80.0,51.457015877101846,0,204,69.12392174238124,56.0,49.21313058958795,0.2597738674708775,0.1422991071428572,-85.0,0.8577008928571428,3.0545888071066307,0.7642505814730618,0.325148564122012,2519.79701598843,3.295616865158081
7,0.00565875,11,238,91.9587180372192,87.0,41.92299050539221,9,235,73.69607673943682,71.0,37.60269305063635,4,223,51.62678689561941,42.0,35.834561270387276,0.30164623260498047,0.06334891193223313,80.0,0.9366510880677669,3.02844835020114,0.8995232668588359,0.2805677342713669,1381.3230607120474,2.2861907482147217
8,0.007454083333333333,4,168,56.34967892266795,47.0,36.41593131110092,4,171,44.206889761626066,32.0,36.50697888172305,3,183,37.93341610965857,24.0,38.53362381171637,0.17640807119648108,0.14496888731605173,-45.0,0.8550311126839483,2.9916656101902475,0.872936844188739,0.5167826265153344,1306.804051461466,1.2963802814483643
9,0.0071994166666666665,6,255,88.05215818215632,96.0,52.41577085782574,3,255,71.76341995367474,66.0,51.67526747992473,0,254,68.91613550419576,61.0,54.58959847494426,0.1614856719970703,0.20417953005745648,0.0,0.7958204699425435,3.0284062831506064,0.4970879990469308,0.3772043140634821,2677.5687983917264,1.5754175186157227
10,0.015783458333333333,4,255,83.3289182357385,81.0,52.44351260411085,0,255,63.901105996324674,49.0,48.98985868972695,0,255,60.90864486042384,46.0,51.02457847914003,0.21484709148165546,0.2573207245130881,-15.0,0.7426792754869119,3.080963505501791,0.4672654803169432,0.2991201088016061,2460.814238669971,1.426890254020691
11,0.013630916666666666,12,255,120.44752632960349,124.0,45.65028860115855,2,246,89.18204307465811,91.0,42.34780431931749,0,255,82.49232662887553,81.0,46.60787026757222,0.2552421145968967,0.18210855770879775,45.0,0.8178914422912023,3.110382541107729,0.6116788194964138,0.18304537824025588,1814.3227855426398,1.4407353401184082
12,0.018040083333333335,10,235,109.49755238267586,108.0,44.678992199877165,0,195,75.6136315219209,72.0,37.656947195195556,0,255,82.91649925437582,73.0,51.3352461101801,0.19570147663081458,0.2319556262872121,15.0,0.7680443737127879,3.067435441624473,0.35926268483545726,0.23470565327611578,1590.5945123144036,-0.1787574589252472
13,0.01632,5,255,105.02776247852866,100.0,48.09109087090043,3,255,78.66999645392747,71.0,43.14391966153035,0,255,53.17159470151375,43.0,40.20181344636452,0.34254324114000473,0.05356425198432635,90.0,0.9464357480156737,3.0087252422474484,0.8960652182211167,0.22509725792846838,1876.8492975976546,4.855748653411865
14,0.010996041666666666,10,255,136.94048378502112,136.0,52.026136562322144,0,245,107.23164791618196,103.0,48.78679322936254,0,255,99.62619238822884,91.0,51.46039625536265,0.20386904761904762,0.18998145724258286,45.0,0.8100185427574171,3.090829639011868,0.5674309714203417,0.2743936391748028,2378.517025737461,0.7294557094573975
15,0.015960666666666668,9,255,123.18162553169812,124.0,51.09270638702159,0,254,94.55424976439724,97.0,45.26192191784023,0,255,80.89336491683859,82.0,41.658505533720785,0.17107894772388896,0.22634705807599442,-25.0,0.7736529419240056,3.018381418548249,0.5939260449556893,0.3965672066183188,2069.795682107323,1.5446621179580688
16,0.016806708333333333,13,255,107.00615836854676,100.0,46.5905839428827,0,255,87.1118133382326,84.0,40.695004707223646,0,255,66.89059219793006,62.0,34.504528402765175,0.21978303660517154,0.16506849315068495,-80.0,0.834931506849315,2.936872716818141,0.8387611284071991,0.4245023541414101,1668.6671543606471,2.8593389987945557
17,0.014791666666666667,3,255,122.61792723484616,116.0,48.37091376885338,0,255,106.7421494186921,110.0,47.17765782511294,0,255,74.6607718833039,66.0,44.42006072051137,0.17137096774193547,0.17026440211924077,-90.0,0.8297355978807592,3.058089863663004,0.44017253623543884,0.4259307497730913,2093.593331792581,3.5841331481933594
18,0.013739375,17,255,137.03839258188393,133.0,49.77683861987614,0,255,112.90971891733338,110.0,47.82973468886914,0,255,96.39112424087327,88.0,49.00953113619848,0.22329162656400384,0.1613508159363306,-55.0,0.8386491840636694,2.9855774019382992,0.42967204603074655,0.4855524913034309,2258.3747751448736,1.6520360708236694
19,0.012374958333333333,7,255,107.5578656586217,106.0,37.48122948132985,0,255,88.36600557773137,96.0,38.37762197747994,0,255,66.07103016204499,63.0,33.29876817440497,0.28949370035311073,0.16119392535261468,-75.0,0.8388060746473853,3.073156762210223,0.6315539469765268,0.2848344240491309,1316.4431890705357,2.514686107635498
20,0.019336625,9,255,91.71295599485683,88.0,55.15096164789177,0,255,68.32365475335533,61.0,47.393967315330805,0,255,60.62092276200756,49.0,45.9382783495592,0.1734221920822606,0.30334156326496164,-90.0,0.6966584367350384,3.038466839286059,0.683329609866587,0.38319357972428864,2351.0902703498905,1.1263160705566406
21,0.016043791666666668,14,235,123.97440485684663,119.0,41.494672157449834,3,207,102.52881011244916,104.0,38.13923748461311,0,255,102.43284452508175,98.0,47.43651568410413,0.22194759971217104,0.18801676220253605,-90.0,0.811983237797464,2.9786235641628656,0.8026341983412193,0.35997659915184743,1493.8605595829156,0.5370725393295288
22,0.013813416666666667,9,255,146.32815303430078,162.0,68.11994628973659,0,255,105.72136323658751,111.0,59.16811011967232,0,255,104.25463500439754,100.0,66.6637914380432,0.20910068393982562,0.24086483390607105,65.0,0.759135166093929,3.067654374753869,0.4737751688458563,0.32649493999391405,3728.4760930015,0.5937910676002502
23,0.016773916666666666,4,255,116.22259951874337,119.0,46.42113891722086,0,255,98.96066643051705,104.0,47.062604693716025,0,255,81.74586229219851,77.0,45.39117150755387,0.20937240824979894,0.20497924394983214,-30.0,0.7950207560501679,2.9414981153853916,0.9272425669257528,0.3361687665180434,2063.276081145489,1.7863940000534058
24,0.022504791666666666,0,255,77.55211290319625,75.0,44.181401673810036,0,255,51.65624158146576,44.0,34.636057248913986,0,255,50.37488340043726,38.0,39.70072484995577,0.2389813127188847,0.20569628213513103,-55.0,0.794303717864869,3.0614883631977756,0.4128994273518279,0.2767035308114453,1320.1180710646026,0.509358823299408
25,0.011481458333333333,4,255,98.749552259937,103.0,48.814985457888,0,255,88.59550490213428,94.0,48.75390733374419,0,255,83.20104767635296,88.0,47.553643509647905,0.3127246137978374,0.08982207670245435,85.0,0.9101779232975457,2.981286935714454,0.7739949469564247,0.4450501930439404,2320.43235395207,0.8232693672180176
26,0.016388666666666666,3,255,103.16941729196073,111.0,66.67517548487854,2,255,84.95521448860431,87.0,56.63686047367078,0,255,90.66377523008231,87.0,65.35512879996503,0.22777721135303228,0.2149155489319423,45.0,0.7850844510680577,3.0108125153613976,0.7121702375782307,0.3830259384359649,3586.52468792963,-0.17492642998695374
27,0.0037650416666666665,9,255,108.53870291774366,109.0,44.46246515386939,0,255,74.75838997564115,70.0,41.22834860867951,0,255,61.604620735871336,53.0,41.19178204561229,0.2957788560448623,0.1874118890977443,-80.0,0.8125881109022557,3.103666072147836,0.7825518390180368,0.14268474171582224,1635.03878809603,1.8729456663131714
28,0.0075635,9,255,152.6680265802933,170.0,59.74388505534509,4,255,129.76184984182245,142.0,59.156081538360866,0,255,111.80235622551213,112.0,61.88928626059512,0.215625,0.17821143055762456,75.0,0.8217885694423754,3.0555068985393845,0.7646634379252094,0.36473142046037,3448.005743425105,2.5263617038726807
29,0.014925208333333334,0,255,95.54054960614766,93.0,57.02395872718514,0,255,78.86502618808683,73.0,54.11182127170255,0,255,69.02201998817756,59.0,50.89103397422492,0.2761340197394876,0.19673490541591088,85.0,0.8032650945840891,3.078723284561553,0.7735486981633625,0.22142296259082545,2922.746032849332,1.5301856994628906
30,0.017855458333333334,21,255,137.9418368022803,131.0,49.10208944515943,0,255,99.19554765814675,101.0,43.856046482036454,0,255,77.1681744576178,69.0,48.30711077801948,0.21887149810791015,0.16759243034869464,10.0,0.8324075696513054,3.094877728068926,0.5525174949190474,0.323279019481591,1896.8607740791851,1.8816595077514648
31,0.011362125,8,255,130.80419370211519,139.0,50.07178926372017,0,255,110.8466439385608,120.0,49.39846486069404,0,255,93.57027750284101,95.0,47.638116073647105,0.2916666666666667,0.19221429097063802,70.0,0.807785709029362,3.0903815842883993,0.5051507986880995,0.262146001162839,2355.8793112397198,2.3070907592773438
32,0.009864166666666667,2,255,91.10283909540779,81.0,68.52197035822043,0,255,76.29508605110709,61.0,60.8657892029487,0,255,74.7049983955142,58.0,58.45704727897755,0.14941201473306293,0.2837803187145055,85.0,0.7162196812854945,3.0274719621274175,0.5503458805327491,0.3541867673581841,3906.952968242772,0.22771421074867249
33,0.008155916666666667,6,255,84.74819640659862,77.0,55.26612795269162,2,255,70.86730249822577,63.0,50.385634574449185,0,255,55.50662976937491,42.0,44.813288884844525,0.19400449822710447,0.1669468101001046,-80.0,0.8330531898998954,3.0050002721976448,0.5459986122896053,0.47755368737197273,2554.562117292418,1.7022335529327393
34,0.0080445,7,255,79.25446694383896,70.0,51.283283187916076,5,255,65.85147638253918,51.0,48.287075367645116,0,255,44.280841457795084,32.0,36.838257985766404,0.19274571190582462,0.27247826159243194,70.0,0.7275217384075681,2.962198943258844,0.510025325197132,0.41567203719998436,2229.0893235544945,3.4866764545440674
35,0.00541725,5,192,71.30863504609304,57.0,48.89761778210433,5,188,57.13910181988729,37.0,49.5584898108672,0,182,48.103611326818545,28.0,47.21467426140915,0.3661823272705078,0.13776436237373735,-80.0,0.8622356376262627,3.0802258100454556,0.8364893800480586,0.21455440198148137,2361.7741658506334,1.7299364805221558
36,0.009457333333333333,9,255,111.75782780803762,118.0,50.74045645914898,7,255,88.44916713267314,97.0,46.21890738925039,5,238,63.48035067170981,65.0,35.50199939303883,0.1790659441919384,0.25346109640568404,20.0,0.746538903594316,3.029807270700268,0.47801685641886915,0.33402745953633656,2081.287783837585,3.40445613861084
37,0.0104475,11,255,142.64171223159204,151.0,63.65882611607312,8,255,117.76151743157291,128.0,62.30894465896632,0,255,91.62915065916373,88.0,53.282956888872945,0.10300873873526589,0.23571864045115076,0.0,0.7642813595488492,2.989608191735866,0.6520054259070652,0.3777141962197269,3700.6208938713457,2.5810580253601074
38,0.01157,0,255,111.84257290619163,109.0,46.96854465156136,0,255,92.72809941100417,91.0,45.53347303003127,0,255,73.70051357563568,65.0,44.0476647706976,0.22429065085442018,0.24726032957220556,-90.0,0.7527396704277944,3.127085557120627,0.6709965167700563,0.2237885903742496,2004.318833523828,2.479604959487915
39,0.016584833333333333,4,255,92.50233843217039,87.0,50.42581025373424,0,255,68.2125009419034,65.0,44.58869302224415,0,255,53.358905382663956,45.0,41.98558762071988,0.2762797414040079,0.27268673656901954,90.0,0.7273132634309805,3.0998996079996686,0.5636658088434698,0.2393121362197371,2017.1574999697627,1.955484390258789
