,image_id,ratio_area,color_min_R,color_max_R,color_mean_R,color_median_R,color_std_R,color_min_G,color_max_G,color_mean_G,color_median_G,color_std_G,color_min_B,color_max_B,color_mean_B,color_median_B,color_std_B,inscribed_circle_radius_norm,symmetry_loss_min,symmetry_angle,symmetry_score,hu_1,eccentricity,glcm_energy,hist_variance,hue_skewness
count,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0
mean,125.3855421686747,0.022944420812799775,5.088353413654619,248.8714859437751,100.62413288241781,96.04417670682732,54.081938973530185,1.9959839357429718,243.76706827309238,82.26119638968646,75.47389558232932,49.17626377146159,1.072289156626506,247.89156626506025,72.90133150579801,62.30522088353413,48.99315029151225,0.2553000400792018,0.1839398932257363,-4.196787148594377,0.8160601067742637,3.0622404618094574,0.6654511974324699,0.3451013448374926,2505.2632078428246,1.319377943701354
std,72.43592797152527,0.0168468760489972,5.991948975062825,15.106061530408484,30.02394408173607,36.759380745700255,8.219060553594671,3.991420225821348,20.89282269490273,29.068943058776302,36.242356275389696,8.49539700539715,3.6037048561507987,18.79688463904846,29.1235668774412,35.00177433364533,9.322669203983748,0.06889191765331738,0.0586926365740283,67.07119945317496,0.0586926365740283,0.072566638583309,0.14853684951403043,0.10122716838690812,822.0030151845801,1.604832128933257
min,1.0,0.0037650416666666665,0.0,168.0,44.077602115611256,24.0,35.35617470221026,0.0,170.0,22.570909145425865,13.0,25.339618783888543,0.0,152.0,22.736886043368237,13.0,25.440715604562765,0.10300873873526589,0.015122914888350714,-90.0,0.6268864126340944,2.604138080508775,0.1704341072035745,0.09965635747394964,857.6328644964879,-2.155846357345581
25%,63.0,0.013378,0.0,255.0,79.25446694383896,72.0,48.450795835727526,0.0,242.0,63.901105996324674,52.0,43.61535928857308,0.0,255.0,53.358905382663956,40.0,42.856446434589486,0.20386904761904762,0.14308907415533123,-80.0,0.7736529419240056,3.0274733700119847,0.5610318826598948,0.2743936391748028,1982.88800425845,0.43612974882125854
50%,125.0,0.0200545,3.0,255.0,95.54054960614766,93.0,53.40844276756477,0.0,255.0,77.06611625743037,69.0,48.83331013044586,0.0,255.0,68.91613550419576,55.0,49.09065515560854,0.2405881848941554,0.18801676220253605,-5.0,0.811983237797464,3.074072806918616,0.672180206796844,0.34150576512554665,2378.517025737461,1.1174618005752563
75%,188.0,0.028376708333333334,7.0,255.0,119.0476393033383,118.0,59.4376940449237,3.0,255.0,97.71041983120466,96.0,54.211093852223776,0.0,255.0,85.39271496038405,80.0,54.86631157014962,0.2968072271966315,0.22634705807599442,70.0,0.8569109258446688,3.1141914995126667,0.7784900850836612,0.4154100240325129,2923.160801778292,1.955484390258789
max,250.0,0.18745783333333332,37.0,255.0,215.19449830573865,235.0,83.3155613127318,31.0,255.0,213.31682074279897,233.0,73.4371919212845,33.0,255.0,218.48960529675497,238.0,76.84174652029277,0.45962937260086917,0.3731135873659056,90.0,0.9848770851116493,3.187075833267281,0.9527620996316171,0.6486285923840593,5193.740937761649,10.264715194702148
