image_id,ratio_area,hu_1,color_median_B,inscribed_circle_radius_norm,color_std_R,glcm_homogeneity,color_mean_G,glcm_correlation,glcm_energy,color_min_G
1,0.0074280416666666,3.0983736194873175,24.0,0.2717740073132871,48.450795835727526,0.9213250394889292,56.20405251607774,0.9453881680121592,0.3079178861751585,3
2,0.008553,3.039440821396092,20.0,0.2139431817190987,42.70077711831651,0.9465459264075612,53.661412010642344,0.9485184979277084,0.405030122738033,2
3,0.022093125,3.0910035727949627,52.0,0.2180087927616003,58.73154660121588,0.926295499492638,88.28275113858955,0.9754471713744268,0.3493517899001207,0
4,0.013187375,3.076024334171882,38.0,0.2174435879321808,46.47282061623455,0.939744313019992,72.26592027361572,0.9576025121696284,0.3485282545336914,3
5,0.009164625,3.010350606672214,65.0,0.1850021025713752,62.44917377886132,0.928426531407771,101.7843453484934,0.9614733955008848,0.3706440210016651,0
6,0.0059168333333333,3.0545888071066307,56.0,0.2597738674708775,49.63323254506914,0.936296995160288,85.08788751505753,0.9646965412196038,0.325148564122012,4
7,0.00565875,3.02844835020114,42.0,0.3016462326049804,41.92299050539221,0.9345978167689472,73.69607673943682,0.9525442704089842,0.2805677342713669,9
8,0.0074540833333333,2.9916656101902475,24.0,0.176408071196481,36.41593131110092,0.9697799514120414,44.206889761626066,0.9489088447408214,0.5167826265153344,4
9,0.0071994166666666,3.0284062831506064,61.0,0.1614856719970703,52.41577085782574,0.931832025803934,71.76341995367474,0.9725543559248884,0.3772043140634821,3
10,0.0157834583333333,3.080963505501791,46.0,0.2148470914816554,52.44351260411085,0.9201266694614428,63.901105996324674,0.9731484966376146,0.2991201088016061,0
11,0.0136309166666666,3.110382541107729,81.0,0.2552421145968967,45.65028860115855,0.8566646770405731,89.18204307465811,0.9660438866073052,0.1830453782402558,2
12,0.0180400833333333,3.067435441624473,73.0,0.1957014766308145,44.678992199877165,0.9320029611564132,75.6136315219209,0.980528169632513,0.2347056532761157,0
13,0.01632,3.0087252422474484,43.0,0.3425432411400047,48.09109087090043,0.9122856573259512,78.66999645392747,0.970105998391391,0.2250972579284683,3
