image_id,ratio_area,hu_1,color_median_B,inscribed_circle_radius_norm,color_std_R,glcm_homogeneity,color_mean_G,glcm_correlation,glcm_energy,color_min_G,color_min_R,hu_4,hist_entropy,color_mean_B,hist_mean
62,0.0200545,3.010205096141533,42.0,0.2299112237018087,40.58527954021671,0.9541275113444884,40.555083839262906,0.970839898081655,0.4532445398167161,0,3,10.664521033753864,6.721373527649611,49.033249075202974,47.121929891973735
63,0.0131848333333333,2.9967279145431154,41.0,0.213775864566665,65.26025597634896,0.883833919951123,57.99713107632032,0.9500702503879525,0.3501906321965691,0,0,10.63662932452027,7.22662947143224,59.98428095230573,62.71746157127285
64,0.02632075,3.002740958450076,49.0,0.1833941605839416,44.36803736649573,0.945107603092622,50.05980068022581,0.9721702050575446,0.4458479858022336,0,1,11.413884962771435,6.900752561005698,55.20883628841701,55.7919692838004
65,0.0244128333333333,3.014385313697166,43.0,0.2349824145831893,41.52883177220759,0.9225912505309698,39.972028019760586,0.9599317738382882,0.3380771632773119,0,2,10.686170454967389,6.7656913539965675,52.61461907971639,47.247787172683296
66,0.0246566666666666,2.9691464225944664,57.0,0.1659621372017809,66.04802845099385,0.9063028537821634,72.94128241040309,0.9589436194594124,0.4383351547782886,0,0,10.9251481243725,7.502880273893591,70.82526807692503,78.2396988685608
67,0.0175103333333333,2.880964666229287,74.0,0.2222067082969887,59.0988949639364,0.8856240118044985,89.92173431058394,0.9475945329581292,0.4288811411905293,0,0,9.74823712580478,7.632116140380444,88.14003611164637,95.82742534428576
68,0.0161465,3.012412253238759,74.0,0.173221332686288,59.92384131187835,0.9051292652184004,92.61970650003354,0.9801214234317248,0.324376130553458,4,5,10.826524267305125,7.672876668346727,84.73385569584983,96.70543191657336
69,0.017729,3.0961766363835577,48.0,0.2822779004818925,46.07177165284732,0.9194508983907216,61.18969689849624,0.9673877506185992,0.3684109418193679,1,0,12.12667983546612,7.16459035566301,54.63590930451128,61.041294642857146
70,0.0152661666666666,3.041946632634108,39.0,0.323943661971831,37.87436883027705,0.8741388114855411,48.746293420804875,0.9420240722096468,0.2129285947235415,0,0,12.336938724713129,6.857867104158928,44.75989444470218,48.8823582385255
71,0.0068746666666666,3.0119476244451517,44.0,0.2214285714285714,50.06213193304047,0.9273040104582154,73.5416765124663,0.9756126949535202,0.306239582449571,4,6,11.459147007554892,7.382831988410355,54.461031839801265,79.0875942924657
72,0.0073725,2.898747672114427,70.0,0.4571763743524966,60.8404128350105,0.9091011325535012,115.85621465255689,0.967102050184128,0.3607253133035801,0,7,9.695952316270958,7.642985992191853,74.54623064188979,114.97255823676645
